wl,n,k
1.344,3.49749,2.73E-11
1.346,3.49732,2.37E-11
1.348,3.49716,2.07E-11
1.35,3.497,1.83E-11
1.352,3.49681,1.63E-11
1.354,3.49661,1.45E-11
1.356,3.4964,1.31E-11
1.358,3.49619,1.18E-11
1.36,3.496,1.08E-11
1.362,3.49584,9.90E-12
1.364,3.49568,9.12E-12
1.366,3.4955,8.44E-12
1.368,3.49528,7.84E-12
1.37,3.495,7.30E-12
1.372,3.49464,6.80E-12
1.374,3.49422,6.33E-12
1.376,3.49378,5.87E-12
1.378,3.49337,5.41E-12
1.38,3.493,4.94E-12
1.382,3.49271,4.45E-12
1.384,3.49249,3.96E-12
1.386,3.49231,3.50E-12
1.388,3.49216,3.09E-12
1.39,3.492,2.77E-12
1.392,3.49182,2.55E-12
1.394,3.49163,2.41E-12
1.396,3.49142,2.33E-12
1.398,3.49121,2.28E-12
1.4,3.491,2.23E-12
1.402,3.49079,2.16E-12
1.404,3.49059,2.07E-12
1.406,3.49039,1.96E-12
1.408,3.4902,1.83E-12
1.41,3.49,1.68E-12
1.412,3.4898,1.52E-12
1.414,3.4896,1.35E-12
1.416,3.4894,1.19E-12
1.418,3.4892,1.06E-12
1.42,3.489,9.61E-13
1.422,3.4888,9.12E-13
1.424,3.4886,8.96E-13
1.426,3.4884,8.96E-13
1.428,3.4882,8.96E-13
1.43,3.488,8.76E-13
1.432,3.4878,8.25E-13
1.434,3.4876,7.48E-13
1.436,3.4874,6.58E-13
1.438,3.4872,5.65E-13
1.44,3.487,4.81E-13
1.442,3.4868,4.16E-13
1.444,3.4866,3.71E-13
1.446,3.4864,3.48E-13
1.448,3.4862,3.47E-13
1.45,3.486,3.69E-13
1.452,3.4858,4.14E-13
1.454,3.4856,4.81E-13
1.456,3.48541,5.71E-13
1.458,3.48521,6.85E-13
1.46,3.48501,8.20E-13
1.462,3.48482,9.79E-13
1.464,3.48462,1.16E-12
1.466,3.48443,1.36E-12
1.468,3.48423,1.59E-12
1.47,3.48404,1.84E-12
1.472,3.48385,2.11E-12
1.474,3.48366,2.40E-12
1.476,3.48347,2.71E-12
1.478,3.48328,3.05E-12
1.48,3.48309,3.40E-12
1.482,3.4829,3.78E-12
1.484,3.48271,4.18E-12
1.486,3.48252,4.60E-12
1.488,3.48233,5.05E-12
1.49,3.48215,5.51E-12
1.492,3.48196,5.99E-12
1.494,3.48178,6.50E-12
1.496,3.48159,7.03E-12
1.498,3.48141,7.57E-12
1.5,3.48122,8.14E-12
1.502,3.48104,8.73E-12
1.504,3.48086,9.34E-12
1.506,3.48068,9.97E-12
1.508,3.48049,1.06E-11
1.51,3.48031,1.13E-11
1.512,3.48013,1.20E-11
1.514,3.47996,1.27E-11
1.516,3.47978,1.34E-11
1.518,3.4796,1.42E-11
1.52,3.47942,1.49E-11
1.522,3.47924,1.57E-11
1.524,3.47907,1.65E-11
1.526,3.47889,1.74E-11
1.528,3.47872,1.82E-11
1.53,3.47854,1.91E-11
1.532,3.47837,1.99E-11
1.534,3.4782,2.08E-11
1.536,3.47802,2.18E-11
1.538,3.47785,2.27E-11
1.54,3.47768,2.37E-11
1.542,3.47751,2.46E-11
1.544,3.47734,2.56E-11
1.546,3.47717,2.67E-11
1.548,3.477,2.77E-11
1.55,3.47683,2.87E-11
1.552,3.47666,2.98E-11
1.554,3.4765,3.09E-11
1.556,3.47633,3.20E-11
1.558,3.47616,3.31E-11
1.56,3.476,3.43E-11
1.562,3.47583,3.54E-11
1.564,3.47567,3.66E-11
1.566,3.4755,3.78E-11
1.568,3.47534,3.90E-11
1.57,3.47518,4.02E-11
1.572,3.47502,4.15E-11
1.574,3.47485,4.27E-11
1.576,3.47469,4.40E-11
1.578,3.47453,4.53E-11
1.58,3.47437,4.66E-11
1.582,3.47421,4.79E-11
1.584,3.47405,4.93E-11
1.586,3.4739,5.06E-11
1.588,3.47374,5.20E-11
1.59,3.47358,5.34E-11
1.592,3.47342,5.48E-11
1.594,3.47327,5.62E-11
1.596,3.47311,5.76E-11
1.598,3.47296,5.91E-11
1.6,3.4728,6.06E-11
1.602,3.47265,6.20E-11
1.604,3.4725,6.35E-11
1.606,3.47234,6.51E-11
1.608,3.47219,6.66E-11
1.61,3.47204,6.81E-11
1.612,3.47189,6.97E-11
1.614,3.47174,7.13E-11
1.616,3.47159,7.29E-11
1.618,3.47144,7.45E-11
1.62,3.47129,7.61E-11
1.622,3.47114,7.77E-11
1.624,3.47099,7.94E-11
1.626,3.47085,8.10E-11
1.628,3.4707,8.27E-11
1.63,3.47055,8.44E-11
1.632,3.47041,8.61E-11
1.634,3.47026,8.78E-11
1.636,3.47012,8.95E-11
1.638,3.46997,9.13E-11
1.64,3.46983,9.30E-11
1.642,3.46969,9.48E-11
1.644,3.46955,9.66E-11
1.646,3.4694,9.84E-11
1.648,3.46926,1.00E-10
1.65,3.46912,1.02E-10
1.652,3.46898,1.04E-10
1.654,3.46884,1.06E-10
1.656,3.4687,1.08E-10
1.658,3.46856,1.09E-10
1.66,3.46842,1.11E-10
1.662,3.46829,1.13E-10
1.664,3.46815,1.15E-10
1.666,3.46801,1.17E-10
1.668,3.46788,1.19E-10
1.67,3.46774,1.21E-10
1.672,3.46761,1.23E-10
1.674,3.46747,1.25E-10
1.676,3.46734,1.27E-10
1.678,3.4672,1.29E-10
1.68,3.46707,1.31E-10
1.682,3.46694,1.33E-10
1.684,3.4668,1.35E-10
1.686,3.46667,1.37E-10
1.688,3.46654,1.39E-10
1.69,3.46641,1.41E-10
1.692,3.46628,1.43E-10
1.694,3.46615,1.45E-10
1.696,3.46602,1.47E-10
1.698,3.46589,1.49E-10
1.7,3.46576,1.51E-10
1.702,3.46564,1.54E-10
1.704,3.46551,1.56E-10
1.706,3.46538,1.58E-10
1.708,3.46526,1.60E-10
1.71,3.46513,1.62E-10
1.712,3.46501,1.64E-10
1.714,3.46488,1.67E-10
1.716,3.46476,1.69E-10
1.718,3.46463,1.71E-10
1.72,3.46451,1.73E-10
