wl,n,k
1.468,2.291,0.0026
1.47,2.291,0.0025
1.472,2.291,0.0024
1.474,2.291,0.0023
1.476,2.291,0.0022
1.478,2.291,0.0021
1.48,2.291,0.002
1.482,2.2909,0.002
1.484,2.2908,0.002
1.486,2.2907,0.002
1.488,2.2906,0.002
1.49,2.2905,0.002
1.492,2.2904,0.002
1.494,2.2903,0.002
1.496,2.2902,0.002
1.498,2.2901,0.002
1.5,2.29,0.002
1.502,2.29,0.002
1.504,2.29,0.002
1.506,2.29,0.002
1.508,2.29,0.002
1.51,2.29,0.002
1.512,2.29,0.002
1.514,2.29,0.002
1.516,2.29,0.002
1.518,2.29,0.002
1.52,2.29,0.002
1.522,2.2899,0.0019
1.524,2.2898,0.0018
1.526,2.2897,0.0017
1.528,2.2896,0.0016
1.53,2.2895,0.0015
1.532,2.2894,0.0014
1.534,2.2893,0.0013
1.536,2.2892,0.0012
1.538,2.2891,0.0011
1.54,2.289,1.00E-03
1.542,2.289,1.00E-03
1.544,2.289,1.00E-03
1.546,2.289,1.00E-03
1.548,2.289,1.00E-03
1.55,2.289,1.00E-03
1.552,2.289,1.00E-03
1.554,2.289,1.00E-03
1.556,2.289,1.00E-03
1.558,2.289,1.00E-03
1.56,2.289,0.001
1.562,2.289,0.001
1.564,2.289,0.001
1.566,2.289,0.001
1.568,2.289,0.001
1.57,2.289,0.001
1.572,2.289,0.001
1.574,2.289,0.001
1.576,2.289,0.001
1.578,2.289,0.001
1.58,2.289,1.00E-03
1.582,2.2889,9.00E-04
1.584,2.2888,8.00E-04
1.586,2.2887,7.00E-04
1.588,2.2886,6.00E-04
1.59,2.2885,5.00E-04
1.592,2.2884,4.00E-04
1.594,2.2883,3.00E-04
1.596,2.2882,2.00E-04
1.598,2.2881,1.00E-04
1.6,2.288,0.00E+00
1.602,2.288,0.00E+00
1.604,2.288,0.00E+00
1.606,2.288,0.00E+00
1.608,2.288,0.00E+00
1.61,2.288,0.00E+00
1.612,2.288,0.00E+00
1.614,2.288,0.00E+00
1.616,2.288,0.00E+00
1.618,2.288,0.00E+00
1.62,2.288,0.00E+00
1.622,2.2879,0.00E+00
1.624,2.2878,0.00E+00
1.626,2.2877,0.00E+00
1.628,2.2876,0.00E+00
1.63,2.2875,0.00E+00
1.632,2.2874,0.00E+00
1.634,2.2873,0.00E+00
1.636,2.2872,0.00E+00
1.638,2.2871,0.00E+00
1.64,2.287,0.00E+00
1.642,2.2869,0.00E+00
1.644,2.2868,0.00E+00
1.646,2.2867,0.00E+00
1.648,2.2866,0.00E+00
1.65,2.2865,0.00E+00
1.652,2.2864,0.00E+00
1.654,2.2863,0.00E+00
1.656,2.2862,0.00E+00
1.658,2.2861,0.00E+00
1.66,2.286,0.00E+00
1.662,2.286,0.00E+00
1.664,2.286,0.00E+00
1.666,2.286,0.00E+00
1.668,2.286,0.00E+00
1.67,2.286,0.00E+00
1.672,2.286,0.00E+00
1.674,2.286,0.00E+00
1.676,2.286,0.00E+00
1.678,2.286,0.00E+00
1.68,2.286,0.00E+00
1.682,2.286,0.00E+00
1.684,2.286,0.00E+00
1.686,2.286,0.00E+00
1.688,2.286,0.00E+00
1.69,2.286,0.00E+00
1.692,2.286,0.00E+00
1.694,2.286,0.00E+00
1.696,2.286,0.00E+00
1.698,2.286,0.00E+00
1.7,2.286,0.00E+00
1.702,2.286,0.00E+00
1.704,2.286,0.00E+00
1.706,2.286,0.00E+00
1.708,2.286,0.00E+00
1.71,2.286,0.00E+00
1.712,2.286,0.00E+00
1.714,2.286,0.00E+00
1.716,2.286,0.00E+00
1.718,2.286,0.00E+00
1.72,2.286,0.00E+00
1.722,2.286,0.00E+00
1.724,2.286,0.00E+00
1.726,2.286,0.00E+00
1.728,2.286,0.00E+00
1.73,2.286,0.00E+00
1.732,2.286,0.00E+00
1.734,2.286,0.00E+00
1.736,2.286,0.00E+00
1.738,2.286,0.00E+00
1.74,2.286,0.00E+00
1.742,2.286,0.00E+00
1.744,2.286,0.00E+00
1.746,2.286,0.00E+00
1.748,2.286,0.00E+00
1.75,2.286,0.00E+00
1.752,2.286,0.00E+00
1.754,2.286,0.00E+00
1.756,2.286,0.00E+00
1.758,2.286,0.00E+00
1.76,2.286,0.00E+00
1.762,2.286,0.00E+00
1.764,2.286,0.00E+00
1.766,2.286,0.00E+00
1.768,2.286,0.00E+00
1.77,2.286,0.00E+00
1.772,2.286,0.00E+00
1.774,2.286,0.00E+00
1.776,2.286,0.00E+00
1.778,2.286,0.00E+00
1.78,2.286,0.00E+00
1.782,2.286,0.00E+00
1.784,2.286,0.00E+00
1.786,2.286,0.00E+00
1.788,2.286,0.00E+00
1.79,2.286,0.00E+00
1.792,2.286,0.00E+00
1.794,2.286,0.00E+00
1.796,2.286,0.00E+00
1.798,2.286,0.00E+00
1.8,2.286,0.00E+00
1.802,2.286,0.00E+00
1.804,2.286,0.00E+00
1.806,2.286,0.00E+00
1.808,2.286,0.00E+00
1.81,2.286,0.00E+00
1.812,2.286,0.00E+00
1.814,2.286,0.00E+00
1.816,2.286,0.00E+00
1.818,2.286,0.00E+00
1.82,2.286,0.00E+00
1.822,2.2861,0.00E+00
1.824,2.2862,0.00E+00
1.826,2.2863,0.00E+00
1.828,2.2864,0.00E+00
1.83,2.2865,0.00E+00
1.832,2.2866,0.00E+00
1.834,2.2867,0.00E+00
